N0;Komentar;
56;Tingkatkan dan pertahankan terus pelayanan tokopedia yg sdh bagus. Bisa bayar segala macam tagihan sekaligus belanja di tokopedia. Tapi koq bulan Juli ini sepi promo cashback pembayran tagihan sich..Tolong diadakan lg dong...;
57;"Saya suka dan puas dengan aplikasi tokped, bisa melacak paket kita dimana, tapi ada yang kurang menurut saya dari pelacakan itu, tokped hanya memberi tau tempat tujuan paket itu datang kemana, tapi tidak terhubung dengan Google maps, kalau bisa terhubung nama lokasi tujuan paket itu dengan Google maps, mungkin lebih lengkap lagi dari pelacakan paket itu sendiri, terima kasih";
58;"Mantap pembayaran angsuran kredit menggunakan mandiri debit,waktu 00.00 tidak dapat melakukan transaksi menggunakan kode mandiribdg tetapi ketika waktu 00.01 di tekan kembali tulisannya berubah menjadi kuota sudah habis,gilak cepat banget tuh tangan orang atau ada unsur penipuan di dalamnya sama seperti di aplikasi sebelah.yg bermain pekerjanya juga berarti judulnya bukan event untuk umum melainkan event khusus pekerja tokopedia.selamat tokopedia atas tipu dayanya,perjuangkan terus.";
59;"mau tanya tokopedia lagi gangguan teknis pada pembayaran apa,ko saya dari kemaren mau pembayaran ga bisa bisa ini lagi banyak orderan lagi tolong pak segera di perbaiki lah";
60;"maaf, kenapa ya setelah diupdate kok malah nggak bisa buka whislit, katanya ada masalah pada server, padahal jaringannya normal. pas dibuka ulang beberapa kali tetap nggak bisa. pas dibuka langsung dari play store whislit nya juga nggak bisa dibuka. tolong solusinya ,secepatnya yaaa.";
61;"Overall Bagus. Tapi saran saya mohon ditingkatkan lagi untuk sistem pengiriman instant/same day. Bila pembeli memilih pengiriman same day, seharusnya waktu konfirmasi dan pengiriman oleh penjual jg HARUS di hari yg sama. Bila penjual baru konfirmasi dan dikirim keesokan harinya sama saja dengan merugikan pembeli. Apalagi mengingat jasa pengiriman instant / same day itu lebih mahal daripada jasa pengiriman lainnya.";
62;"menu pembayaran macet saat pembayaran transfer bank BCA (saat pembayaran tidak bisa klik bayar), mau rubah metode pembayaran lainnya juga tidak bisa, coba install ulang dan coba lagi tetap juga macet";
63;"menurut saya sebagi pelanggan, aturan 1% toko power merchant itu mempengaruhi pembelian. di karenakan pedagang menaikan harga jualnya. saya akan jadi pembeli kembali setelah peraturan 1% power merchant di hapus.";
64;"dear @Tokopedia kenapa tambah kesini tambah pelit ama cash back tidak seperti dulu,setiap pembelian 1.300.000 dapet cashback 100.000,sekarang malah engga ada cash back sama sekali.padahal saya belanja di @Tokopedia seminggu bisa 2 kali";
65;"kapok ketokopedia, salah transfer uang nggak dibalikkin, udah disalin bukti transfer karena bayar via hp tetap aja harus diphoto rugi saya. pengalaman jangan salah transfer uang nggak dibalikkin tuh!";
66;"Alhamdulillah Tokopedia pelayanannya sangat mantap kemarin saya belanja kasur angin 1 set terdiri dari kasur, bantal dan pompa dalam waktu yang cepat telah dikirim kerumah mantap bisa dibuat langganan belanja.";
67;"aplikasinya sih bagus.... tp yg saya tidak suka, aplikasi ini memaksa usernya utk update. kalau tidak maka aplikasi ini tidak bisa digunakan.. tolong ini diperbaiki, agar pengguna tetap dapat memanfaatkan app ini tanpa harus uodate sekalipun. mengingat memori ponsel para user tidak semua sama dalam jumlah yg besar yg dapat menampung banyak memori!";
68;saya mau menggunakan saldo saya dan saya sudah memasukan kode untuk menggunakan saldo saya tapi kenapa tidak bisa / tidak valid ... bagaimana caranya untuk mengganti kode untuk membuka saldo saya ??? .... tolong dong ya di jawab ???? soalnya saldo saya ada banyak;
69;"toped tidak menyediakan dengan jelas kurir yang akan digunakan untuk pengiriman seperti dulu, pilihan pengiriman yang digunakan dalam aplikasi hanya durasi, tapi tidak menyediakan jasa kurir yg jelas, contohnya JNE atau JNT, sehingga sangat menyulitkan, karena kita sdh terbiasa dengan jasa pengiriman yg sdh terbukti kualitasnya, kalau masih seperti ini, mungkin beralih ganti aplikasi yg lebih baik";
70;plus minus lah ada siang ada malam.. ada uang mau beli apa aja ada.. trus saya mau beli apa ya? bingung gak cukup duitnya bagi duit lah buat belanja.. Kan tokped duitnya banyak ayo lah admin.. please bagi duit..;
71;"ini gimana si ka? sya pgn bayar tokopedia lewat indomaret gabisa,rekening gabisa,alfamidi jga gbsa. sya pgn klik tombol BAYAR knpa masi gabisa? dri tadi pagi smpe mlm,sya ulang berulang kali masii ttep aja gabsa. tolong diperbaiki lagi ka";
72;Sangat membantu pengalaman berbelanja di jaman modern. Pengalaman pertama belanja online langsung merasa puas. Aman dan terpercaya..;
73;"Kenapa saya harus buat toko lg, semua produk dan foto2 ada di toko. padahal hari ini baru kirim barang. terus saya buka aplikasi tokopedia tidak bisa di buka.";
74;"baru hari ini mau cek comment jualan, pas dibuka trnyata error.. nama akun bwt beli ga keliatan, kupon yg ada 3 jd ilang, kupon undoan ada 14 jd ilang, akun jualan namanya jd ga ada(kyk seolah2 blm punya akun jualan & bikin baru), ga bs lihat pesan/wishlist/diskusi..makin upgrade bukannya makin bagus, makin sering error gini.. ganti tim IT nya klo kyk gini & Juli ini terulang lg, kupon undian ga ilang, tapi saldo jualan 0..sering bgt errornya di saldo, awas2 sampe bnr2 hilang duit yg di saldo";
75;"sebagai pelanggan setia terlalu banyak kecewa atas pelayanan yang di berikan, dan bantuan yang di berikan dalam.mengatasi masalah atau keluhan pelanggan semua tidak ada gunanya dan tidak ada solusi yang mampu diberikan kepada konsumen oleh pihak tokopedia, tolong benahi kinerjanya dan profesional dong dalam menangani.masalah lihat inti masalahnya jangan asal cuap cuap aja, saya sebagai komsumen sangat kecewa ini bukan yg pertama kalinya";
76;"Sangat disayangkan tokopedia kurang inovasi baru, berbagai toko online sudah mempunyai feature pengiriman gratis dengan syarat minimal pembelanjaan, tapi tokopedia masih dengan feature lamanya. sekarang banyak orang hanya menggunakan tokopedia sebagai optional terakhir dalam belanja online. percaya atau tidak, lambat laun banyak orang akan mencopot aplikasi ini bila tidak ada inovasi baru.";
77;"tolong diperbaiki yg dikeranjang tidak bisa dihapus ada pesan 'maaf, terjadi sedikit kendala. coba ulangi beberapa saat lagi ya' padahal ada barang yg sudah gak saya inginkan jd menumpuk karena ga bisa dihapus";
78;"janji layanan burukkk Jadi saya pesan barang sudah sesuai ketentuan merek dan gambarnya sudah konfirmasi dengan penjual, tapi barang yang datang berbeda trus saya komplain ke penjual tidak direspon, kemudian saya komplain melalui pusat bantuan lama banget ngurusin barang kecil doang dengan alasan penjual tidak merespon, mau sampe kapan tunggu2an respon? Mau sampai saya lupa? Haha";
79;"sangat kecewa saya hampir aja kena tipu sama salah satu penjual di Merchant tokopedia. tolong dong tindak lanjuti penjual dengan nama toko ""Indah Tirta"" dia hampir saja mau menipu saya...dengan Modus ingin memberikan cashback 10% tapi minta kode verifikasi tokopedia saya... dan akhirnya akun saya di retas oleh si penjual, untungnya saya langsung sadar kalo saya mau ditipu... jadi saya langsung membatalkan barang yang saya beli di toko dia";
80;tidak bertanggung jawab dan kurang respon terhadap pelanggan yang merasa ditipu oleh penjual produk. ini terjadi pada suami saya yang beli barang dan waktu pengiriman barang sesuai ongkos tertera satu hari ternyata 5 hari baru tiba... isi barang tdk sesuai dengan yang tertera di label paket hanya di straples aja bungkus paketnya... ini tokopedia tdk respon akan keluhan pelanggan;
81;saya pengguna lama tokopedia sangat kecewa sekarang sekarang ini untuk transaksi pembayaran tidak terus..tolong diperbaiki. paraah aplikasi tokopedia sekarang ini. tidak bisa dihubungi layanan ini. kecewaa;
